Nazwa,Ticker,Liczba akcji [-],Wartość księgowa na akcję [zł],Cena/WK [-],Zysk na akcję [zł],Cena/Zysk [-],Przychody ze sprzedaży na akcję [zł],Cena/Przychód [-],Wartość księgowa Grahama na akcję [zł],Cena/Wartość księgowa Grahama [-],ROE [%],ROA [%],Marża zysku netto [%],Zobowiązania długoterminowe [tys. zł],Koszty finansowe [tys. zł],Przepływy pieniężne [tys. zł],Wolne przepływy pieniężne [tys. zł],Wzrost przychodów ze sprzedaży r/r [%],Wzrost przychodów ze sprzedaży z 3 lat [%],Wzrost przychodów ze sprzedaży z 5 lat [%],Wzrost zysku netto r/r [%],Wzrost zysku netto z 3 lat [%],Wzrost zysku netto z 5 lat [%],Wzrost kosztów sprzedaży r/r [%],Wzrost kosztów sprzedaży z 3 lat [%],Wzrost kosztów sprzedaży z 5 lat [%],Wzrost EBITDA r/r [%],Wzrost EBITDA z 3 lat [%],Wzrost EBITDA z 5 lat [%],Wzrost wartości firmy r/r [%],Wzrost wartości firmy z 3 lat [%],Wzrost wartości firmy z 5 lat [%],Wzrost kredytów i pożyczek r/r [%],Wzrost kredytów i pożyczek z 3 lat [%],Wzrost kredytów i pożyczek z 5 lat [%],Wzrost aktywów r/r [%],Wzrost aktywów z 3 lat [%],Wzrost aktywów z 5 lat [%],Wzrost pasywów r/r [%],Wzrost pasywów z 3 lat [%],Wzrost pasywów z 5 lat [%],Wzrost dywidendy r/r [%],Wzrost dywidendy z 3 lat [%],Wzrost dywidendy z 5 lat [%],Dywidenda [%],Nazwa+ticker
NOVITA,NVT,2500000,55.37,1.77,7.72,12.7,75.69,1.29,10.7,9.16,13.94,10.37,10.2,16797.0,965.0,16499.0,25149.0,-5.44,-23.96,-5.83,-18.16,-9.72,-52.59,-6.14,-27.39,0.92,-16.18,-13.68,-48.13,,,,,,-100.0,12.12,-0.38,5.86,12.12,-0.38,5.86,-74.19,,-80.0,3.0,NOVITA (NVT)
LIBET,LBT,45302461,2.35,0.66,0.32,4.83,1.95,0.79,1.05,1.47,13.68,11.14,16.45,3925.0,473.0,10604.0,-5662.0,-19.42,-65.61,-64.66,-16.4,-245.55,-988.21,,-134.86,-135.82,-28.68,-19.26,-32.61,,,,,,-100.0,-4.25,-46.64,-60.75,-4.25,-46.64,-60.75,,,,0.0,LIBET (LBT)
GRENEVIA,GEA,574680673,4.0,0.76,0.63,4.83,3.69,0.82,1.23,2.47,15.75,8.27,17.08,978000.0,89000.0,265000.0,400000.0,13.38,63.5,86.04,46.56,201.67,90.53,48.08,175.0,250.0,19.8,50.49,46.88,8.5,13.61,33.95,,,-100.0,13.77,19.29,75.68,13.77,19.29,75.68,,,,0.0,GRENEVIA (GEA)
ALTUS,ALI,40920000,3.53,0.77,0.31,8.73,1.22,2.24,3.82,0.71,8.83,7.05,25.59,2553.0,542.0,-1783.0,3242.0,0.73,19.72,-24.13,-15.41,79.72,37.41,,,,-23.08,-8.4,-25.71,0.0,-1.12,,,,,3.17,26.81,39.02,3.17,26.81,39.02,,,,0.0,ALTUS (ALI)
POLWAX,PWX,61700000,0.94,1.54,-0.07,,2.41,0.6,0.46,3.13,-7.5,-2.93,-2.91,15142.0,3980.0,-445.0,-17382.0,-21.78,-55.08,-31.28,-80.95,-152.06,-242.95,-25.81,-35.58,-34.31,-63.22,-122.25,-153.9,,,,0.0,-80.1,-89.05,31.54,3.07,8.26,31.54,3.07,8.26,,,,0.0,POLWAX (PWX)
AMBRA,AMB,25206644,17.23,1.1,1.74,10.93,35.58,0.53,6.78,2.8,10.08,5.0,4.88,69307.0,10273.0,1200.0,59706.0,0.21,0.21,-1.87,-1.91,-1.91,-16.25,1.14,1.14,7.39,-1.41,-1.41,-7.04,-0.65,0.0,-0.72,-25.34,0.0,-19.23,-4.39,0.0,1.61,-4.39,0.0,1.61,0.0,0.0,13.73,8.799999999999999,AMBRA (AMB)
ERBUD,ERB,11929836,37.49,0.85,-4.06,,278.19,0.12,-1.53,,-10.82,-2.23,-1.46,316279.0,30730.0,-23331.0,-47839.0,11.38,-13.92,48.93,120.36,-444.04,-175.09,20.13,107.38,205.21,-17.38,-2.42,-43.7,-0.17,2.64,4.97,352.1,44.5,500.86,7.17,7.79,81.13,7.17,7.79,81.13,-0.02,5239.8,1214.57,7.8,ERBUD (ERB)
TOYA,TOA,75042226,7.12,1.35,1.09,8.88,11.98,0.81,5.81,1.66,15.25,11.51,9.07,14731.0,2827.0,32630.0,73643.0,9.5,17.88,65.83,19.14,16.08,25.52,2.37,35.45,75.06,16.2,10.07,32.65,-9.25,-19.64,-11.19,-100.0,-100.0,-100.0,-10.03,19.88,79.32,-10.03,19.88,79.32,,,-100.0,0.0,TOYA (TOA)
WIELTON,WLT,73853261,5.62,1.26,-2.64,,28.51,0.25,-7.39,,-46.98,-9.64,-9.26,206130.0,60576.0,11008.0,-96518.0,0.04,-38.67,15.87,35.88,-274.72,-832.58,-3.82,-8.05,51.48,196.53,-125.18,-153.24,0.0,0.0,0.0,18.8,97.14,313.84,7.92,-3.87,36.78,7.92,-3.87,36.78,,,,0.0,WIELTON (WLT)
REMAK,RMK,3000000,23.95,0.54,0.4,32.58,66.09,0.2,14.67,0.89,1.67,0.72,0.6,3391.0,2238.0,3836.0,-3605.0,-16.5,7.04,-33.19,-76.03,-50.29,-92.63,,,,-2.94,-17.89,-68.94,,-100.0,-100.0,,,,-4.33,11.36,-33.52,-4.33,11.36,-33.52,100.0,,,4.6,REMAK (RMK)
HELIO,HEL,5000000,31.47,0.85,2.71,9.93,89.06,0.3,17.62,1.53,8.6,5.03,3.04,19274.0,8848.0,1365.0,-37807.0,6.74,42.78,89.78,-49.37,4.81,310.27,3.72,54.18,30.68,-24.89,23.13,236.84,,,,683.72,-7.41,299.34,26.35,35.45,119.44,26.35,35.45,119.44,,,,0.0,HELIO (HEL)
BIOTON,BIO,85864200,6.9,0.64,-0.03,,3.45,1.29,-0.37,,-0.48,-0.37,-0.95,66321.0,7642.0,987.0,18367.0,42.38,26.87,33.38,-81.97,-298.66,-108.32,0.89,3.92,4.16,66.0,-8.8,-36.79,,,,-47.45,-64.88,-72.64,-4.19,-6.11,-12.25,-4.19,-6.11,-12.25,,,,0.0,BIOTON (BIO)
ROPCZYCE,RPC,6259634,64.13,0.37,1.84,12.92,63.97,0.37,18.81,1.27,2.87,1.92,2.88,51588.0,5986.0,-8190.0,18829.0,-6.84,-21.05,34.52,-1195.35,-74.19,-58.15,-12.23,-12.4,58.06,49.89,-49.91,-22.43,0.0,0.0,0.0,46.89,18.46,361.51,1.59,-3.37,39.38,1.59,-3.37,39.38,9.99,-43.76,36.06,4.2,ROPCZYCE (RPC)
MBANK,MBK,42525752,480.41,1.87,82.02,10.97,426.33,2.11,,,17.07,1.33,19.24,,,,-2588787.0,,,,55.48,-596.5,3261.76,,,,48.72,1373.71,408.95,0.0,0.0,0.0,,,,6.33,24.61,45.19,6.33,24.61,45.19,,,,0.0,MBANK (MBK)
PEKAO,PEO,262470034,126.55,1.38,25.92,6.74,89.94,1.94,,,20.48,2.01,28.82,,,,10185000.0,,,,6.69,295.81,517.1,,,,8.22,173.16,272.75,0.0,0.05,0.05,,,,1.19,20.3,43.79,1.19,20.3,45.03,-4.31,327.25,,9.5,PEKAO (PEO)
DELKO,DEL,11960000,12.72,0.53,0.24,27.71,65.4,0.1,0.55,12.28,1.9,0.87,0.37,37851.0,5263.0,-2605.0,10609.0,-11.35,0.32,4.11,-80.99,-84.01,-78.32,,,,-35.2,-24.28,-21.58,0.0,0.0,6.31,-3.03,43.2,-0.6,-7.37,18.6,44.65,-7.37,18.6,44.65,-7.79,155.21,295.1,13.200000000000001,DELKO (DEL)
KRUK,KRU,19402913,262.0,1.75,51.12,8.96,153.89,2.98,245.29,1.87,19.51,7.85,33.22,6982066.0,441673.0,135863.0,-280279.0,2.7,39.15,162.38,-7.63,23.27,1125.16,,,,-1.85,32.33,282.17,-0.28,-53.57,-66.94,29.51,-86.75,-41.4,8.42,64.43,172.01,8.42,64.43,172.01,0.4,40.36,,3.9,KRUK (KRU)
WAWEL,WWL,1499755,507.22,1.33,52.68,12.83,489.82,1.38,252.14,2.68,10.39,9.03,10.75,20558.0,568.0,-101603.0,36011.0,6.58,25.54,50.34,7.14,113.65,37.97,3.24,7.51,20.31,5.1,66.1,9.1,0.0,0.0,0.0,,,,2.56,17.45,10.66,2.56,17.45,10.66,-71.43,,-71.29,1.3,WAWEL (WWL)
BUDIMEX,BDX,25530098,40.29,12.64,23.89,21.32,353.17,1.44,-51.55,,59.29,7.86,6.76,1109588.0,72691.0,-392386.0,329528.0,-1.11,4.61,7.57,-1.66,11.88,30.1,9.76,10.78,-52.07,1.75,28.55,18.4,0.0,0.0,5.75,21.31,5.85,-57.21,-0.69,5.08,4.02,-0.69,5.08,4.02,-28.75,8.35,457.68,4.7,BUDIMEX (BDX)
SEKO,SEK,6650000,14.04,0.59,1.37,6.05,36.07,0.23,2.58,3.22,9.78,6.3,3.81,6567.0,1150.0,2118.0,9637.0,1.96,4.2,28.73,-3.98,104.71,100.22,4.77,10.96,20.99,-3.01,38.29,34.43,,,,0.0,101.29,-21.47,-8.13,2.6,4.86,-8.13,2.6,4.86,-28.99,,57.77,8.6,SEKO (SEK)
UNICREDIT,UCG,1551419850,190.92,1.45,29.37,9.41,0.0,,,,15.38,1.21,,,,,0.0,,,,9.96,51.29,-626.57,,,,6.12,59.52,-3444.56,,,,,,,9.49,-6.55,-12.74,9.49,-6.55,-12.54,-100.0,-100.0,-100.0,0.0,UNICREDIT (UCG)
KETY,KTY,9766843,194.02,4.76,57.53,16.04,562.24,1.64,-65.94,,29.65,12.83,10.23,1000000.0,91499.0,-8181.0,653406.0,6.75,-7.41,55.41,0.41,-17.12,30.84,,,,9.22,-1.31,50.9,0.0,34.74,34.6,-23.16,16.78,26.48,3.72,12.66,51.55,3.72,12.66,51.55,-3.69,2.72,54.2,5.7,KETY (KTY)
QUERCUS,QRS,46957266,1.93,5.63,1.18,9.17,4.01,2.7,0.84,12.85,61.42,28.12,29.48,5000.0,25849.0,65863.0,93918.0,21.6,106.99,198.67,28.57,290.9,220.28,-73.92,-61.67,-42.09,30.73,397.34,431.62,,,,,,,3.12,25.1,119.21,3.12,25.1,119.21,,,,0.2,QUERCUS (QRS)
KERNEL,KER,293429230,25.61,0.66,2.94,5.79,50.72,0.34,9.4,1.81,11.46,7.17,5.79,2077933.0,280879.0,-695875.0,438340.0,3.06,-37.73,-8.97,27.13,-570.98,75.85,,,,9.74,70.75,-4.37,-10.31,-85.14,-90.29,-51.3,-87.37,248.73,-12.33,-36.0,-4.68,-12.33,-36.0,-4.68,,-100.0,-100.0,0.0,KERNEL (KER)
CCC,CCC,77025894,30.35,6.39,10.37,18.69,138.8,1.4,-32.63,,34.17,7.62,7.47,3163600.0,522900.0,162600.0,537600.0,3.77,17.18,89.6,-12.95,-300.65,-169.57,1.23,2.4,50.11,8.25,231.86,3009.84,9.77,7.45,10.71,36.43,-61.67,-62.99,15.88,48.48,57.79,15.88,48.48,57.79,,,,0.0,CCC (CCC)
INC,INC,15043099,0.94,2.08,0.0,1842.78,0.5,3.91,0.91,2.14,0.11,0.06,0.21,3424.0,205.0,-2561.0,-3595.0,32.48,187.3,47.65,-105.29,-102.78,-97.68,,,,-148.65,-125.4,-85.31,0.0,0.0,0.0,0.0,0.0,20.0,-17.12,-28.7,-33.79,-17.12,-28.7,-33.79,,,-100.0,0.0,INC (INC)
SFINKS,SFS,37941054,-2.17,,-0.28,,1.56,0.31,-3.72,,12.87,-14.13,-17.82,113485.0,13644.0,-765.0,-8578.0,-21.44,-40.96,-23.23,108.93,-149.25,-82.69,,,,-37.98,-79.52,-178.25,,,-100.0,75.11,1056.45,-82.48,-28.33,-38.08,-52.87,-28.33,-38.08,-52.87,,,,0.0,SFINKS (SFS)
ZEPAK,ZEP,50823547,41.21,0.7,1.53,18.96,35.18,0.82,-13.86,,3.71,1.82,4.34,618510.0,54740.0,-135624.0,-448412.0,-18.17,-57.43,-18.98,-70.48,-63.97,-134.27,-1.06,-90.9,-63.8,-52.77,-66.81,-196.46,,-100.0,,,-33.35,491.51,10.7,-6.12,48.05,10.7,-6.12,48.05,,,,0.0,ZEPAK (ZEP)
FASING,FSG,3107249,56.78,0.21,2.69,4.39,81.03,0.15,17.09,0.69,4.73,2.46,3.32,14834.0,18313.0,-8083.0,-17333.0,-5.66,0.95,64.39,-40.22,547.53,-4.98,-2.77,-7.85,76.55,6.03,64.32,41.91,,,,-1.69,-17.81,156.23,2.06,4.81,11.73,2.06,4.81,11.73,,,,0.0,FASING (FSG)
IBSM,IBS,386774,100.24,0.75,-4.37,,62.2,1.2,19.61,3.81,-4.36,-1.59,-7.03,32796.0,10359.0,-571.0,8854.0,43.29,27.59,1202700.0,-168.62,-107.29,-92.86,,,,-13.56,-53.83,2602.82,,,,-4.13,669.06,1009.77,-16.34,21.14,39918.11,-16.34,21.14,39918.11,,,,0.0,IBSM (IBS)
MABION,MAB,16162326,5.0,1.98,-4.01,,0.7,14.22,-1.83,,-80.28,-50.65,-576.71,8354.0,2776.0,-39478.0,-39782.0,-83.71,-93.14,,923.67,-379.57,16.26,,,,-3444.27,-236.5,13.26,,,,22.01,42.65,-99.38,-19.72,-31.24,63.45,-19.72,-31.24,63.45,,,,0.0,MABION (MAB)
TRAKCJA,TRK,461450976,0.79,2.81,0.08,27.61,4.91,0.45,-0.19,,10.17,2.33,1.63,91608.0,29088.0,53288.0,9680.0,7.71,50.85,69.21,4.83,-111.97,-133.84,4.32,13.36,-7.32,-0.19,-138.89,-285.75,-0.33,-14.76,-30.07,-12.26,-65.9,1.49,-4.47,14.08,7.49,-4.47,14.08,7.49,,,,0.0,TRAKCJA (TRK)
KGL,KGL,7053308,16.63,0.89,-1.31,,74.73,0.2,-10.74,,-7.86,-2.56,-1.75,57381.0,14277.0,7672.0,-7123.0,-0.84,-19.16,38.72,143.06,-45.67,-182.43,3.14,12.97,46.7,-13.48,21.61,-26.42,,,,8.35,-8.0,1096.39,-0.45,-3.49,3.78,-0.45,-3.49,3.78,0.0,,45.36,3.8,KGL (KGL)
PKPCARGO,PKP,44786917,15.85,1.0,-44.15,,88.89,0.18,-96.88,,-278.59,-31.18,-49.67,2201800.0,0.0,312900.0,230300.0,-10.75,-26.14,-2.32,-18.04,-1436.08,781.59,,,,-32.3,-80.97,-65.03,,,,12.15,76.72,144.01,-1.53,-17.22,-16.12,-1.53,-17.22,-16.12,,,,0.0,PKPCARGO (PKP)
BIOMAXIMA,BMX,4193118,11.25,1.31,0.17,87.8,13.6,1.08,-0.75,,1.49,0.9,1.23,11635.0,1239.0,-474.0,-3385.0,7.94,-60.35,-9.43,31.21,-97.57,-90.95,,,,7.75,-86.35,-56.38,,,-100.0,15.98,674.1,152.99,2.06,4.69,45.92,2.06,4.69,45.92,,-100.0,,0.0,BIOMAXIMA (BMX)
PLAYWAY,PLW,6600000,49.34,6.51,22.8,14.08,49.08,6.54,42.35,7.58,46.22,24.7,46.46,32206.0,10127.0,7093.0,133099.0,-4.76,12.08,63.66,-12.09,32.43,-21.0,,,,-3.47,3.11,51.19,358.6,353.1,354.33,,179.41,,10.46,9.1,32.89,10.46,9.1,32.89,0.71,4.78,134.31,8.6,PLAYWAY (PLW)
PTWP,PTW,1237320,23.28,4.21,11.14,8.8,92.84,1.06,16.72,5.86,47.85,23.24,12.0,2492.0,334.0,9173.0,14621.0,11.54,36.18,175.46,390.91,73.69,2941.65,,,,140.07,94.94,745.78,0.0,-74.5,12.47,,,,33.75,33.28,127.28,33.75,33.28,127.28,0.0,93.89,,3.2,PTWP (PTW)
KCI,KCI,68582150,5.04,0.17,-0.2,,0.14,5.91,-0.38,,-4.0,-3.6,-140.11,2771.0,3135.0,-4482.0,-2938.0,571.39,-90.79,-89.87,65.04,-75.43,-111.82,,,,18.41,-65.21,-114.43,,-100.0,-100.0,77.88,994.65,913.4,5.9,-18.24,-29.74,5.9,-18.24,-29.74,,,-100.0,0.0,KCI (KCI)
DGA,DGA,1130279,15.8,1.02,1.68,9.56,3.77,4.27,12.37,1.3,10.66,5.79,44.66,2423.0,1177.0,3878.0,3484.0,83.43,-57.24,-51.69,-164.76,994.25,518.18,-35.29,-73.17,-86.59,-30.91,928.25,-1071.61,,,,,,,33.12,-2.12,28.06,33.12,-2.12,28.06,-100.0,-100.0,-100.0,0.0,DGA (DGA)
FEERUM,FEE,9537916,12.2,0.94,0.07,168.75,10.92,1.05,6.15,1.87,0.56,0.36,0.62,4650.0,940.0,12215.0,3139.0,37.84,37.0,-12.0,-130.65,-86.28,-108.73,-3.54,60.06,80.5,51.33,-52.48,148.18,,,-100.0,212.41,-36.33,-48.38,26.66,1.36,-10.82,26.66,1.36,-10.82,,,-100.0,0.0,FEERUM (FEE)
FMG,FMG,343511,217.08,0.53,13.15,8.78,370.41,0.31,-27.73,,6.06,3.86,3.55,14430.0,7321.0,-6899.0,19371.0,-10.22,154.16,506.71,-52.58,-20.21,-187.23,,,,-21.01,68.11,-940.49,0.0,,,-72.85,1700.0,-71.52,-18.09,57.12,23.89,-18.09,57.12,23.89,,,,0.0,FMG (FMG)
VINDEXUS,VIN,11700000,24.66,0.44,2.7,4.05,11.53,0.95,21.14,0.52,10.97,6.99,23.46,106531.0,13592.0,437.0,832.0,14.1,16.43,165.69,25.06,-2.07,479.14,,,,28.13,29.39,229.17,0.0,0.0,0.0,-13.39,,-68.02,5.53,29.48,54.08,5.53,29.48,54.08,124.05,229.22,722.61,7.3999999999999995,VINDEXUS (VIN)
TARCZYNSKI,TAR,11346936,58.86,2.06,9.99,12.16,189.59,0.64,-80.86,,16.98,5.84,5.27,642085.0,67490.0,-2873.0,-141411.0,4.05,33.31,109.89,-5.34,11.3,24.19,17.07,56.38,141.54,-5.54,37.74,46.87,,,,47.55,71.33,717.66,12.35,45.15,149.05,12.35,45.15,149.05,-99.98,-99.97,,0.0,TARCZYNSKI (TAR)
MERCATOR,MRC,9770435,91.54,0.51,6.39,7.31,59.32,0.79,49.95,0.94,6.98,6.23,10.77,35982.0,14357.0,-105237.0,-151041.0,6.85,6.84,-68.4,25.06,-132.67,-93.34,,,,5.22,-136.81,-94.63,,,,48.98,-65.4,-89.36,-4.0,-7.51,-22.3,-4.0,-7.51,-22.3,,,-100.0,0.0,MERCATOR (MRC)
ACTION,ACT,16537000,23.48,1.0,2.36,9.95,167.19,0.14,14.52,1.62,10.04,5.63,1.41,41696.0,3342.0,-47099.0,10423.0,9.11,16.81,34.07,-5.67,-20.54,-78.97,2.98,20.79,86.44,2.04,-8.01,-65.79,0.0,501.43,,-2.94,58.4,54.84,5.81,6.94,9.89,5.81,6.94,9.89,,,,0.0,ACTION (ACT)
